8.26.56.26           : [5], 64 bytes, 74.2 ms (73.8 avg, 0% loss)
2606:4700:4700::1111 : [5], 64 bytes, 6.18 ms (6.57 avg, 0% loss)
8.20.247.20          : [5], 64 bytes, 74.7 ms (74.4 avg, 0% loss)
180.76.76.76         : [5], 64 bytes, 169 ms (170 avg, 0% loss)
114.114.114.114      : [5], 64 bytes, 166 ms (166 avg, 0% loss)
77.88.8.8            : [5], 64 bytes, 288 ms (287 avg, 0% loss)
77.88.8.88           : [5], 64 bytes, 287 ms (288 avg, 0% loss)
77.88.8.1            : [5], 64 bytes, 301 ms (302 avg, 0% loss)
77.88.8.2            : [5], 64 bytes, 292 ms (293 avg, 0% loss)
77.88.8.7            : [5], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [5], 64 bytes, 288 ms (288 avg, 0% loss)
8.8.8.8              : [6], 64 bytes, 11.7 ms (11.4 avg, 0% loss)
8.8.4.4              : [6], 64 bytes, 6.31 ms (7.12 avg, 0% loss)
208.67.220.123       : [6], 64 bytes, 6.35 ms (6.77 avg, 0% loss)
216.146.35.35        : [5], timed out (NaN avg, 100% loss)
216.146.36.36        : [5], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [6], 64 bytes, 5.99 ms (6.71 avg, 0% loss)
80.80.80.80          : [6], 64 bytes, 58.9 ms (59.1 avg, 0% loss)
2001:4860:4860::8844 : [6], 64 bytes, 5.79 ms (6.32 avg, 0% loss)
80.80.81.81          : [6], 64 bytes, 58.0 ms (57.8 avg, 0% loss)
2620:119:35::35      : [6], 64 bytes, 6.82 ms (7.15 avg, 0% loss)
2620:fe::fe          : [6], 64 bytes, 5.79 ms (5.93 avg, 0% loss)
8.26.56.26           : [6], 64 bytes, 73.1 ms (73.7 avg, 0% loss)
2a10:50c0::ad1:ff    : [6], 64 bytes, 6.38 ms (6.34 avg, 0% loss)
2606:4700:4700::1111 : [6], 64 bytes, 6.64 ms (6.58 avg, 0% loss)
8.20.247.20          : [6], 64 bytes, 74.5 ms (74.4 avg, 0% loss)
180.76.76.76         : [6], 64 bytes, 170 ms (170 avg, 0% loss)
114.114.114.114      : [6], 64 bytes, 166 ms (166 avg, 0% loss)
77.88.8.8            : [6], 64 bytes, 287 ms (287 avg, 0% loss)
77.88.8.88           : [6], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [6], 64 bytes, 300 ms (301 avg, 0% loss)
77.88.8.2            : [6], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [6], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [6], 64 bytes, 289 ms (288 avg, 0% loss)
8.8.8.8              : [7], 64 bytes, 13.8 ms (11.7 avg, 0% loss)
8.8.4.4              : [7], 64 bytes, 6.34 ms (7.03 avg, 0% loss)
208.67.220.123       : [7], 64 bytes, 6.22 ms (6.70 avg, 0% loss)
216.146.35.35        : [6], timed out (NaN avg, 100% loss)
216.146.36.36        : [6], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [7], 64 bytes, 5.96 ms (6.62 avg, 0% loss)
80.80.80.80          : [7], 64 bytes, 58.3 ms (59.0 avg, 0% loss)
2001:4860:4860::8844 : [7], 64 bytes, 6.78 ms (6.38 avg, 0% loss)
80.80.81.81          : [7], 64 bytes, 56.9 ms (57.7 avg, 0% loss)
2620:119:35::35      : [7], 64 bytes, 6.08 ms (7.02 avg, 0% loss)
2620:fe::fe          : [7], 64 bytes, 6.06 ms (5.95 avg, 0% loss)
2a10:50c0::ad1:ff    : [7], 64 bytes, 6.79 ms (6.40 avg, 0% loss)
8.26.56.26           : [7], 64 bytes, 73.4 ms (73.7 avg, 0% loss)
2606:4700:4700::1111 : [7], 64 bytes, 6.80 ms (6.61 avg, 0% loss)
8.20.247.20          : [7], 64 bytes, 73.3 ms (74.3 avg, 0% loss)
180.76.76.76         : [7], 64 bytes, 171 ms (170 avg, 0% loss)
114.114.114.114      : [7], 64 bytes, 165 ms (166 avg, 0% loss)
77.88.8.8            : [7], 64 bytes, 288 ms (287 avg, 0% loss)
77.88.8.88           : [7], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [7], 64 bytes, 300 ms (301 avg, 0% loss)
77.88.8.2            : [7], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [7], 64 bytes, 293 ms (294 avg, 0% loss)
77.88.8.3            : [7], 64 bytes, 289 ms (288 avg, 0% loss)
8.8.8.8              : [8], 64 bytes, 6.52 ms (11.1 avg, 0% loss)
8.8.4.4              : [8], 64 bytes, 6.41 ms (6.96 avg, 0% loss)
208.67.220.123       : [8], 64 bytes, 6.70 ms (6.70 avg, 0% loss)
216.146.35.35        : [7], timed out (NaN avg, 100% loss)
216.146.36.36        : [7], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [8], 64 bytes, 6.86 ms (6.65 avg, 0% loss)
80.80.80.80          : [8], 64 bytes, 59.3 ms (59.0 avg, 0% loss)
2001:4860:4860::8844 : [8], 64 bytes, 6.86 ms (6.43 avg, 0% loss)
80.80.81.81          : [8], 64 bytes, 57.4 ms (57.6 avg, 0% loss)
2620:119:35::35      : [8], 64 bytes, 5.38 ms (6.84 avg, 0% loss)
2620:fe::fe          : [8], 64 bytes, 6.24 ms (5.98 avg, 0% loss)
2a10:50c0::ad1:ff    : [8], 64 bytes, 5.84 ms (6.34 avg, 0% loss)
8.26.56.26           : [8], 64 bytes, 73.6 ms (73.7 avg, 0% loss)
2606:4700:4700::1111 : [8], 64 bytes, 6.46 ms (6.59 avg, 0% loss)
8.20.247.20          : [8], 64 bytes, 74.8 ms (74.4 avg, 0% loss)
180.76.76.76         : [8], 64 bytes, 171 ms (170 avg, 0% loss)
114.114.114.114      : [8], 64 bytes, 167 ms (166 avg, 0% loss)
77.88.8.8            : [8], 64 bytes, 287 ms (287 avg, 0% loss)
77.88.8.88           : [8], 64 bytes, 288 ms (288 avg, 0% loss)
77.88.8.1            : [8], 64 bytes, 300 ms (301 avg, 0% loss)
77.88.8.2            : [8], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [8], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [8], 64 bytes, 288 ms (288 avg, 0% loss)
8.8.8.8              : [9], 64 bytes, 13.4 ms (11.4 avg, 0% loss)
8.8.4.4              : [9], 64 bytes, 5.45 ms (6.81 avg, 0% loss)
208.67.220.123       : [9], 64 bytes, 6.28 ms (6.66 avg, 0% loss)
216.146.35.35        : [8], timed out (NaN avg, 100% loss)
216.146.36.36        : [8], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [9], 64 bytes, 6.06 ms (6.59 avg, 0% loss)
80.80.80.80          : [9], 64 bytes, 59.3 ms (59.0 avg, 0% loss)
2001:4860:4860::8844 : [9], 64 bytes, 5.49 ms (6.34 avg, 0% loss)
80.80.81.81          : [9], 64 bytes, 56.6 ms (57.5 avg, 0% loss)
2620:119:35::35      : [9], 64 bytes, 5.98 ms (6.75 avg, 0% loss)
2620:fe::fe          : [9], 64 bytes, 6.57 ms (6.04 avg, 0% loss)
2a10:50c0::ad1:ff    : [9], 64 bytes, 6.89 ms (6.39 avg, 0% loss)
8.26.56.26           : [9], 64 bytes, 74.7 ms (73.8 avg, 0% loss)
2606:4700:4700::1111 : [9], 64 bytes, 6.48 ms (6.58 avg, 0% loss)
8.20.247.20          : [9], 64 bytes, 74.4 ms (74.4 avg, 0% loss)
180.76.76.76         : [9], 64 bytes, 170 ms (170 avg, 0% loss)
114.114.114.114      : [9], 64 bytes, 166 ms (166 avg, 0% loss)
77.88.8.8            : [9], 64 bytes, 288 ms (287 avg, 0% loss)
77.88.8.88           : [9], 64 bytes, 287 ms (288 avg, 0% loss)
77.88.8.1            : [9], 64 bytes, 300 ms (301 avg, 0% loss)
77.88.8.2            : [9], 64 bytes, 293 ms (293 avg, 0% loss)
77.88.8.7            : [9], 64 bytes, 294 ms (294 avg, 0% loss)
77.88.8.3            : [9], 64 bytes, 289 ms (288 avg, 0% loss)
8.8.8.8              : [10], 64 bytes, 6.97 ms (11.0 avg, 0% loss)
8.8.4.4              : [10], 64 bytes, 6.84 ms (6.81 avg, 0% loss)
208.67.220.123       : [10], 64 bytes, 7.02 ms (6.69 avg, 0% loss)
216.146.35.35        : [9], timed out (NaN avg, 100% loss)
216.146.36.36        : [9], timed out (NaN avg, 100% loss)
2001:4860:4860::8888 : [10], 64 bytes, 6.04 ms (6.54 avg, 0% loss)
80.80.80.80          : [10], 64 bytes, 58.8 ms (59.0 avg, 0% loss)
2001:4860:4860::8844 : [10], 64 bytes, 6.05 ms (6.31 avg, 0% loss)
80.80.81.81          : [10], 64 bytes, 56.9 ms (57.5 avg, 0% loss)
2620:119:35::35      : [10], 64 bytes, 5.92 ms (6.67 avg, 0% loss)
2620:fe::fe          : [10], 64 bytes, 6.51 ms (6.08 avg, 0% loss)
2a10:50c0::ad1:ff    : [10], 64 bytes, 6.53 ms (6.40 avg, 0% loss)
8.26.56.26           : [10], 64 bytes, 74.6 ms (73.9 avg, 0% loss)
2606:4700:4700::1111 : [10], 64 bytes, 6.59 ms (6.58 avg, 0% loss)
